City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,gaiman,-43.2897,-65.4929,294.26,19,5,5.01,AR,1697570482
175,san patricio,28.017,-97.5169,298.07,29,0,0.74,US,1697570482
176,kasba tadla,32.5977,-6.2684,300.21,37,43,4.44,MA,1697570482
177,gamboula,4.1178,15.1393,294.4,97,100,1.38,CF,1697570483
178,yoloten,37.2989,62.3597,291.15,41,54,5.62,TM,1697570483
179,kapuskasing,49.4169,-82.4331,285.2,62,0,2.57,CA,1697570330
180,hovd,48.0056,91.6419,276.47,34,13,0.57,MN,1697570483
181,karratha,-20.7377,116.8463,300.63,26,0,3.71,AU,1697570483
182,uruzgan,32.8333,66.0,287.34,25,98,0.37,AF,1697570483
183,bredasdorp,-34.5322,20.0403,289.62,83,0,1.19,ZA,1697570484
184,puerto deseado,-47.7503,-65.8938,284.82,49,0,5.32,AR,1697570484
185,talara,-4.5772,-81.2719,302.57,54,0,5.14,PE,1697570202
186,hermanus,-34.4187,19.2345,290.52,81,0,2.35,ZA,1697570484
187,kapa'a,22.0752,-159.319,300.98,62,0,2.57,US,1697570484
188,eyl,7.9803,49.8164,300.66,80,37,4.41,SO,1697570485
189,lecco,45.8533,9.3905,287.62,76,100,1.34,IT,1697570323
190,la libertad,-2.2333,-80.9,301.96,65,20,4.12,EC,1697570485
191,kinablangan,7.6947,126.5503,298.73,87,72,2.12,PH,1697570485
192,colonia,50.9333,6.95,283.07,71,0,3.09,DE,1697570485
193,atasu,48.6814,71.6433,282.95,56,0,3.35,KZ,1697570486
194,gorontalo,0.5412,123.0595,296.88,95,5,0.91,ID,1697570486
195,mudgee,-32.5943,149.5871,284.14,84,37,3.84,AU,1697570249
196,puerto ayora,-0.7393,-90.3518,305.13,87,100,2.68,EC,1697570486
197,tengrela,10.4869,-6.4097,299.87,65,71,1.05,CI,1697570487
198,santyoku,37.4406,129.1708,286.24,55,54,3.0,KR,1697570487
199,awjilah,29.1081,21.2869,296.96,37,0,2.61,LY,1697570422
200,katsuura,35.1333,140.3,291.46,74,39,2.23,JP,1697570487
201,mala,-12.6581,-76.6308,295.22,74,97,3.68,PE,1697570488
202,atafu village,-8.5421,-172.5159,301.55,74,100,4.57,TK,1697570278
203,usinsk,65.9939,57.5281,275.41,99,100,7.15,RU,1697570488
204,kidal,18.4411,1.4078,305.86,15,65,0.52,ML,1697570488
205,okhotsk,59.3833,143.3,264.89,71,24,5.63,RU,1697570488
206,pacific grove,36.6177,-121.9166,300.59,72,0,2.57,US,1697570194
207,mar del plata,-38.0023,-57.5575,288.16,43,0,6.69,AR,1697570416
208,aasiaat,68.7098,-52.8699,257.48,85,30,3.27,GL,1697570489
209,yuzhno-kurilsk,44.0306,145.8556,283.91,75,92,13.33,RU,1697570489
210,hobyo,5.3505,48.5268,301.09,79,83,5.32,SO,1697570489
211,nikolayevsk-on-amure,53.1406,140.73,277.1,93,99,1.49,RU,1697570490
212,tazovsky,67.4667,78.7,276.83,95,100,5.64,RU,1697570490
213,petoskey,45.3733,-84.9553,283.94,78,7,3.39,US,1697570490
214,uturoa,-16.7333,-151.4333,299.5,77,100,8.5,PF,1697570490
215,aleysk,52.4926,82.7822,279.24,68,0,2.47,RU,1697570490
216,narrabri,-30.3167,149.7833,284.0,71,0,1.34,AU,1697570490
217,alto araguaia,-17.3147,-53.2153,309.77,19,41,3.09,BR,1697570491
218,wasco,35.5941,-119.341,300.61,53,0,1.54,US,1697570491
219,naze,28.3667,129.4833,290.66,69,0,2.35,JP,1697570491
220,talnakh,69.4865,88.3972,271.6,97,100,3.93,RU,1697570491
221,taltal,-25.4,-70.4833,291.97,64,26,2.92,CL,1697570348
222,nuuk,64.1835,-51.7216,269.49,50,20,8.23,GL,1697570491
223,kharkhorin,47.1975,102.8238,275.27,26,90,3.06,MN,1697570492
224,yigo village,13.5361,144.8886,297.67,90,75,7.2,GU,1697570492
225,pangody,65.85,74.4859,278.74,97,100,5.23,RU,1697570492
226,acapulco de juarez,16.8634,-99.8901,305.05,43,100,1.54,MX,1697570391
227,manokwari,-0.8667,134.0833,299.03,75,16,1.25,ID,1697570492
228,pimentel,-6.8367,-79.9342,298.31,61,0,8.75,PE,1697570492
229,melfort,52.8667,-104.6177,282.22,87,100,4.63,CA,1697570493
230,keflavik,64.0049,-22.5624,283.39,93,100,13.38,IS,1697570493
231,pucheng,27.9233,118.5333,287.06,85,0,0.81,CN,1697570493
232,mitsamiouli,-11.3847,43.2844,298.92,76,56,4.46,KM,1697570493
233,pacocha,-17.5833,-71.3333,294.23,68,20,3.6,PE,1697570493
234,chibougamau,49.9168,-74.3659,284.94,50,0,2.57,CA,1697570494
235,afaahiti,-17.75,-149.2833,300.08,83,95,7.38,PF,1697570494
236,mandalgovi,45.7625,106.2708,276.3,31,100,6.97,MN,1697570494
237,la manga del mar menor,37.6413,-0.7165,296.71,78,0,1.54,ES,1697570392
238,sitia,35.2,26.0986,295.36,74,90,2.39,GR,1697570494
239,kushiro,42.975,144.3747,283.11,76,26,6.51,JP,1697570494
240,lebu,-37.6167,-73.65,287.47,66,0,5.7,CL,1697570495
241,nova vicosa,-17.8919,-39.3719,300.06,66,9,6.46,BR,1697570495
242,nebbi,2.4783,31.0889,293.41,86,19,1.62,UG,1697570495
243,hailar,49.2,119.7,274.83,52,30,5.46,CN,1697570495
244,rio grande,-32.035,-52.0986,295.21,67,100,9.29,BR,1697570495
245,port blair,11.6667,92.75,300.38,79,27,1.71,IN,1697570495
246,el granada,37.5027,-122.4694,300.3,76,20,1.54,US,1697570496
247,itoman,26.1247,127.6694,296.16,60,0,3.6,JP,1697570496
248,manwat,19.3,76.5,298.58,57,96,2.94,IN,1697570496
249,lagos,6.5833,3.75,299.33,95,77,1.37,NG,1697570338
250,mount pleasant,32.7941,-79.8626,294.82,52,0,2.68,US,1697570496
251,juan griego,11.0817,-63.9655,304.26,62,7,5.88,VE,1697570496
252,walvis bay,-22.9575,14.5053,288.76,82,49,3.09,NA,1697570497
253,nouadhibou,20.931,-17.0347,299.14,65,3,8.75,MR,1697570244
254,fonte boa,-2.4959,-66.2662,308.98,38,41,0.91,BR,1697570497
255,nova sintra,14.8667,-24.7167,298.2,71,0,7.28,CV,1697570497
256,aketi,2.7388,23.7833,296.95,76,16,1.2,CD,1697570497
257,sitka,57.0531,-135.33,286.09,58,100,10.29,US,1697570497
258,gazojak,41.1875,61.4036,290.78,25,100,3.67,TM,1697570497
259,carbonear,47.7332,-53.2148,280.61,80,100,4.59,CA,1697570498
260,namibe,-15.1961,12.1522,291.6,78,81,1.82,AO,1697570382
261,la'ie,21.6477,-157.9253,301.54,82,0,1.34,US,1697570498
262,remire-montjoly,4.9167,-52.2667,304.17,70,75,5.66,GF,1697570200
263,fort st. john,56.2499,-120.8529,282.09,81,75,3.09,CA,1697570441
264,port saint john's,-31.6229,29.5448,290.68,86,15,4.9,ZA,1697570498
265,bosaso,11.2842,49.1816,300.2,79,40,1.65,SO,1697570498
266,codrington,-38.2667,141.9667,278.29,87,0,3.45,AU,1697570499
267,nenjiang,49.1833,125.2167,277.75,59,0,3.77,CN,1697570499
268,havre,49.5833,0.3333,288.26,67,0,7.72,FR,1697570499
269,banda aceh,5.5577,95.3222,299.44,77,100,4.75,ID,1697570499
270,aswan,24.0934,32.907,300.76,22,0,3.6,EG,1697570499
271,san antonio de pale,-1.4014,5.6325,298.71,78,40,2.47,GQ,1697570499
272,kuanda,56.3161,116.0806,269.27,89,36,0.85,RU,1697570500
273,smithers,54.7804,-127.1743,280.33,93,100,4.12,CA,1697570500
274,greymouth,-42.4667,171.2,280.11,90,48,2.8,NZ,1697570500
275,belmonte,-15.8631,-38.8828,299.45,63,3,3.75,BR,1697570500
276,as sulayyil,20.4607,45.5779,301.29,15,0,2.68,SA,1697570500
277,kalymnos,36.95,26.9833,293.89,64,20,3.09,GR,1697570500
278,kupang,-10.1667,123.5833,299.47,78,13,4.63,ID,1697570500
279,camiri,-20.05,-63.5167,307.03,36,75,3.09,BO,1697570501
